webtoon_title,episode_number,episode_title,publish_date,likes,episode_url
Tower of God,235,[Season 3] Ep. 235 (Season 3 Finale),2025-02-23,,https://www.webtoons.com/en/fantasy/tower-of-god/season-3-ep-235-season-3-finale/viewer?title_no=95&episode_no=653
Tower of God,234,[Season 3] Ep. 234,2025-02-16,,https://www.webtoons.com/en/fantasy/tower-of-god/season-3-ep-234/viewer?title_no=95&episode_no=652
Tower of God,233,[Season 3] Ep. 233,2025-02-09,,https://www.webtoons.com/en/fantasy/tower-of-god/season-3-ep-233/viewer?title_no=95&episode_no=651
Tower of God,232,[Season 3] Ep. 232,2025-02-02,,https://www.webtoons.com/en/fantasy/tower-of-god/season-3-ep-232/viewer?title_no=95&episode_no=650
Tower of God,231,[Season 3] Ep. 231,2025-01-26,,https://www.webtoons.com/en/fantasy/tower-of-god/season-3-ep-231/viewer?title_no=95&episode_no=649
Tower of God,230,[Season 3] Ep. 230,2025-01-19,,https://www.webtoons.com/en/fantasy/tower-of-god/season-3-ep-230/viewer?title_no=95&episode_no=648
Tower of God,229,[Season 3] Ep. 229,2025-01-12,,https://www.webtoons.com/en/fantasy/tower-of-god/season-3-ep-229/viewer?title_no=95&episode_no=647
Tower of God,228,[Season 3] Ep. 228,2025-01-05,,https://www.webtoons.com/en/fantasy/tower-of-god/season-3-ep-228/viewer?title_no=95&episode_no=646
Tower of God,227,[Season 3] Ep. 227,2024-12-29,,https://www.webtoons.com/en/fantasy/tower-of-god/season-3-ep-227/viewer?title_no=95&episode_no=645
